player_in_possession_id,player_in_possession_name,team_class,avg_risk_score
22542,Marta,Team 1,50.34
22723,J. Grosso,Team 2,62.59
22809,A. Naeher,Team 2,66.82
22810,M. Swanson,Team 2,53.35
22814,M. Gautrat,Team 1,54.19
57112,N. Kuikka,Team 2,66.46
57138,C. Pickett,Team 1,39.06
57146,C. Roccaro,Team 2,63.88
62385,Julia Bianchi,Team 2,46.46
62389,Angelina,Team 1,58.9
62445,B. Banda,Team 1,54.62
63540,Adriana,Team 1,52.29
149860,C. Biegalski,Team 2,49.78
149873,A. Moorhouse,Team 1,67.42
149882,K. Abello,Team 1,57.76
149954,K. Strom,Team 1,63.4
151077,J. Doyle,Team 1,52.42
151149,S. Groom,Team 2,52.58
151151,H. McCutcheon,Team 1,64.98
151186,T. Malham,Team 2,68.51
151602,A. Watt,Team 1,55.67
156934,V. Villacorta,Team 1,48.74
169682,L. Nesbeth,Team 2,42.04
340954,J. Bike,Team 2,69.66
441597,E. Madril Sams,Team 1,64.75
610122,S. Yates,Team 1,55.44
627434,A. Schlegel,Team 2,62.87
816413,H. Anderson,Team 2,68.49
817541,C. Dyke,Team 1,61.45
817547,B. Franklin,Team 2,71.27
817610,J. Joseph,Team 2,54.54
817614,A. Cook,Team 2,44.39
