player_in_possession_id,player_in_possession_name,team_class,avg_risk_score
22418,A. Schult,Team 2,61.9
22541,Debinha,Team 2,54.28
22542,Marta,Team 1,55.86
22731,N. Prince,Team 2,59.62
52566,A. Cook,Team 2,67.97
57144,H. Mace,Team 2,65.26
62389,Angelina,Team 1,60.96
62445,B. Banda,Team 1,51.1
63540,Adriana,Team 1,50.6
149873,A. Moorhouse,Team 1,41.88
149882,K. Abello,Team 1,69.42
149954,K. Strom,Team 1,63.3
151077,J. Doyle,Team 1,71.36
151115,B. Feist,Team 2,49.23
151127,K. Sharples,Team 2,62.67
151129,V. DiBernardo,Team 2,54.86
151137,I. Rodriguez,Team 2,55.61
151139,L. LaBonta,Team 2,53.42
151151,H. McCutcheon,Team 1,62.3
151602,A. Watt,Team 1,64.85
188178,M. Cooper,Team 2,49.74
441597,E. Madril Sams,Team 1,61.76
816479,T. Chawinga,Team 2,49.23
816480,C. Hutton,Team 2,53.99
816481,E. Wheeler,Team 2,64.38
817541,C. Dyke,Team 1,64.01
