player_in_possession_id,player_in_possession_name,team_class,avg_risk_score
18897,R. Williams,Team 1,61.29
22418,A. Schult,Team 2,63.52
22541,Debinha,Team 2,48.02
22687,N. Miura,Team 1,66.36
22727,D. Scott,Team 2,34.42
22731,N. Prince,Team 2,54.85
52566,A. Cook,Team 2,68.17
57135,C. Murphy,Team 1,65.54
57136,D. O'Sullivan,Team 1,53.69
57140,K. Kurtz,Team 1,63.45
57142,M. Speck,Team 1,58.22
57144,H. Mace,Team 2,61.45
62480,Kerolin,Team 1,56.07
63543,B. St-Georges,Team 1,61.69
63796,F. Rauch,Team 1,63.8
75099,A. Sanchez,Team 1,59.35
143889,C. Vine,Team 1,68.3
149933,M. Berkely,Team 1,63.22
151115,B. Feist,Team 2,48.21
151127,K. Sharples,Team 2,60.27
151129,V. DiBernardo,Team 2,50.79
151139,L. LaBonta,Team 2,62.32
188178,M. Cooper,Team 2,60.52
188612,M. Matsukubo,Team 1,57.37
188659,Aline Gomes,Team 1,61.85
617125,O. Wingate,Team 1,53.51
816479,T. Chawinga,Team 2,54.33
816480,C. Hutton,Team 2,59.06
816481,E. Wheeler,Team 2,59.49
