player_in_possession_id,player_in_possession_name,team_class,avg_risk_score
22402,A. Oshoala,Team 2,47.44
22730,G. Carle,Team 1,58.1
22815,A. Dahlkemper,Team 2,62.12
57072,E. Morgan,Team 1,58.38
57105,E. Menges,Team 2,59.55
57139,K. Rowland,Team 2,62.07
59727,C. Krueger,Team 1,60.11
62447,R. Kundananji,Team 2,53.22
62526,A. Kingsbury,Team 1,57.47
62527,A. Hatch,Team 1,49.99
62954,D. Castellanos,Team 2,61.75
68518,L. Santos,Team 1,53.32
119153,T. Rodman,Team 1,55.82
149932,K. Pickett,Team 2,62.62
149952,T. Boade,Team 2,47.54
149990,T. McKeown,Team 1,57.65
149991,D. Bailey,Team 2,58.19
151104,C. Dydasco,Team 2,54.2
151607,A. Malonson,Team 2,64.51
156498,R. Hill,Team 2,48.42
627216,P. Metayer,Team 1,45.65
627433,P. Hocking,Team 2,52.69
629253,L. Silano,Team 1,59.21
815169,K. Wiesner,Team 1,53.3
815170,H. Hershfelt,Team 1,55.06
815172,H. Stainbrook,Team 1,66.04
815173,C. Brown,Team 1,45.09
815174,M. Morris,Team 1,48.63
817538,M. Moreau,Team 2,58.96
